Throughput, High Missed, Low Missed, Acceptance Rate, Max Memory
288, 0, 0, 24.9611, 5.29291
192, 0, -nan, 0, 5.27533
259, 0, 0, 57.9734, 4.59174
277, 0, 0, 65.5574, 4.59369
282, 0, 0, 67.7205, 4.58392
270, 0, 0, 62.4273, 4.60541
298, 0, 0, 74.2311, 4.58978
286, 0, 0, 69.1348, 4.6347
289, 0, 0, 70.2995, 4.59369
255, 0, 0, 56.1564, 4.60541
292, 0, 0, 71.7608, 4.60736
282, 0, 0, 67.608, 4.5976
270, 0, 0, 62.6456, 4.58783
263, 0, 0, 59.6841, 4.58392
324, 0, 0, 85.179, 4.61908
265, 0, 0, 60.2159, 4.61127
236, 0, 0, 48.5025, 4.61517
287, 0, 0, 24.7925, 5.27533
239, 0, 0, 12.3444, 5.24408
298, 0, 0, 27.6023, 5.289
286, 0, 0, 24.5469, 5.27924
265, 0, 0, 18.8923, 5.29291
